state,name,under_age_18_poverty,under_age_5_poverty,age_5_to_17_poverty,age_18_to_64_poverty,age_18_to_34_poverty,age_35_to_64_poverty,age_60_and_older_poverty,age_65_and_older_poverty,male,female,white_alone,black_or_african_american,american_indian_and_alaska_native ,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more_races,hispanic_or_latino_origin,white_alone_not_hispanic_or_latino,pop_25_years_over,less_than_hs_graduate,hs_graduate,some_college_or_associate,bachelor_or_higher
California,Yuba County,0.190,0.204,0.185,0.153,0.165,0.144,0.102,0.085,0.140,0.170,0.147,0.128,0.240,0.142,0.074,0.213,0.212,0.184,0.138,0.137,0.255,0.134,0.126,0.048
Minnesota,Aitkin County,0.180,0.227,0.167,0.120,0.165,0.105,0.095,0.095,0.109,0.134,0.120,0.250,0.231,0.000,0.000,0.000,0.112,0.152,0.119,0.103,0.251,0.124,0.082,0.033
Minnesota,Anoka County,0.077,0.088,0.073,0.053,0.069,0.045,0.054,0.056,0.050,0.068,0.046,0.166,0.105,0.071,0.000,0.118,0.128,0.106,0.045,0.052,0.146,0.076,0.043,0.021
Minnesota,Becker County,0.158,0.219,0.137,0.105,0.146,0.085,0.072,0.065,0.099,0.121,0.086,0.228,0.340,0.154,0.000,0.085,0.217,0.172,0.084,0.086,0.239,0.113,0.072,0.032
Minnesota,Beltrami County,0.248,0.333,0.215,0.190,0.268,0.137,0.103,0.092,0.179,0.199,0.123,0.679,0.353,0.122,0.000,1.000,0.363,0.374,0.124,0.143,0.285,0.172,0.166,0.051
Minnesota,Benton County,0.113,0.126,0.109,0.093,0.144,0.062,0.111,0.130,0.081,0.126,0.093,0.219,0.462,0.179,-,0.053,0.233,0.184,0.091,0.085,0.236,0.110,0.065,0.034
Minnesota,Big Stone County,0.100,0.035,0.125,0.099,0.143,0.080,0.091,0.106,0.078,0.125,0.104,-,0.000,-,-,0.000,0.000,0.000,0.105,0.091,0.297,0.092,0.079,0.020
Minnesota,Blue Earth County,0.118,0.145,0.108,0.214,0.359,0.070,0.072,0.074,0.159,0.193,0.155,0.394,0.286,0.461,0.000,0.313,0.341,0.196,0.155,0.084,0.185,0.121,0.076,0.049
Minnesota,Brown County,0.082,0.093,0.078,0.067,0.115,0.045,0.055,0.061,0.066,0.073,0.058,0.129,0.147,0.174,-,0.475,0.085,0.307,0.056,0.059,0.175,0.081,0.043,0.018
Minnesota,Carlton County,0.120,0.157,0.109,0.122,0.154,0.108,0.085,0.070,0.126,0.099,0.093,0.518,0.285,0.239,-,0.273,0.273,0.230,0.091,0.107,0.300,0.158,0.086,0.031
Minnesota,Carver County,0.036,0.028,0.038,0.040,0.059,0.032,0.054,0.056,0.033,0.048,0.037,0.208,0.214,0.055,0.636,0.029,0.019,0.088,0.035,0.039,0.186,0.057,0.043,0.019
Minnesota,Cass County,0.232,0.289,0.211,0.125,0.185,0.102,0.085,0.077,0.124,0.148,0.097,0.354,0.373,0.103,0.000,0.107,0.315,0.208,0.096,0.103,0.244,0.126,0.094,0.041
Minnesota,Chippewa County,0.090,0.118,0.077,0.094,0.162,0.058,0.079,0.096,0.073,0.113,0.084,0.040,0.299,0.010,0.307,0.192,0.010,0.197,0.080,0.079,0.258,0.106,0.029,0.032
Minnesota,Chisago County,0.067,0.073,0.066,0.058,0.075,0.051,0.056,0.054,0.050,0.070,0.057,0.234,0.063,0.144,0.636,0.095,0.103,0.088,0.057,0.054,0.122,0.065,0.051,0.027
Minnesota,Clay County,0.137,0.118,0.145,0.129,0.198,0.080,0.055,0.063,0.113,0.132,0.100,0.505,0.331,0.333,0.878,0.088,0.151,0.144,0.099,0.082,0.255,0.120,0.090,0.021
Minnesota,Clearwater County,0.189,0.193,0.187,0.131,0.136,0.129,0.139,0.136,0.142,0.151,0.120,0.000,0.403,0.071,0.000,0.333,0.178,0.149,0.122,0.137,0.232,0.146,0.118,0.084
Minnesota,Cook County,0.156,0.131,0.166,0.136,0.222,0.102,0.101,0.086,0.115,0.137,0.108,0.000,0.135,0.180,-,0.590,0.407,0.512,0.106,0.101,0.322,0.074,0.138,0.071
Minnesota,Cottonwood County,0.109,0.113,0.108,0.111,0.141,0.096,0.122,0.108,0.107,0.112,0.089,0.406,0.889,0.474,0.000,0.064,0.313,0.182,0.082,0.106,0.278,0.129,0.073,0.030
Minnesota,Crow Wing County,0.147,0.208,0.126,0.106,0.146,0.087,0.084,0.074,0.085,0.130,0.103,0.395,0.236,0.011,-,0.000,0.195,0.051,0.103,0.091,0.179,0.131,0.087,0.028
Minnesota,Dakota County,0.080,0.065,0.086,0.055,0.072,0.046,0.050,0.051,0.055,0.066,0.047,0.152,0.186,0.062,0.000,0.166,0.113,0.171,0.041,0.050,0.185,0.083,0.051,0.019
